CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				Slide2_020818_20	1	1	1	cell	EdU	20	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	5.776	45.925	14.817	9	114	14.644	11.305	14.658	11.313	265.253	45	539065
				Slide2_020818_21	1	1	1	nuclei	DAPI	21	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.928	222.777	39.607	55	255	14.146	11.534	14.151	11.536	206.634	238	419935
				Slide2_020818_22	1	1	1	nuclei	EdU	22	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.928	51.917	14.039	18	107	14.146	11.534	14.162	11.532	48.155	50	97864
				Slide2_020818_23	1	1	1	cytoplasm	DAPI	23	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.17	41.672	13.984	14	101	15.352	11.502	15.34	11.502	7.074	40	14377
				Slide2_020818_24	1	1	1	cytoplasm	EdU	24	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.17	47.907	13.664	20	103	15.352	11.502	15.349	11.504	8.133	47	16528
3	G1	M	1	Slide2_020818_25	1	1	1	cell	DAPI	25	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.289	61.299	58.003	8	255	7.754	8.994	7.483	9.38	630.7	40	1281753
				Slide2_020818_26	1	1	1	cell	EdU	26	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.289	41.389	13.725	9	116	7.754	8.994	7.713	9.027	425.851	40	865444
				Slide2_020818_27	1	1	1	nuclei	DAPI	27	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.211	192.615	57.671	50	255	7.132	9.743	7.126	9.768	233.25	207	474026
				Slide2_020818_28	1	1	1	nuclei	EdU	28	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.211	47.7	14.297	14	116	7.132	9.743	7.152	9.724	57.763	46	117390
				Slide2_020818_29	1	1	1	cytoplasm	DAPI	29	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.262	34.85	11.672	12	82	7.842	7.901	7.843	7.904	9.123	33	18540
				Slide2_020818_30	1	1	1	cytoplasm	EdU	30	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.262	43.594	13.014	11	96	7.842	7.901	7.841	7.899	11.412	42	23192
4	G1	M		Slide2_020818_31	1	1	1	cell	DAPI	31	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	7.398	77.389	73.756	8	255	6.483	13.052	6.588	13.027	572.538	47	1163551
				Slide2_020818_32	1	1	1	cell	EdU	32	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	7.398	39.497	13.868	9	122	6.483	13.052	6.5	13.044	292.202	38	593833
				Slide2_020818_33	1	1	1	nuclei	DAPI	33	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.982	233.675	33.798	76	255	6.788	12.69	6.78	12.699	229.505	255	466415
				Slide2_020818_34	1	1	1	nuclei	EdU	34	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.982	48.9	13.901	18	112	6.788	12.69	6.786	12.69	48.028	47	97605
				Slide2_020818_35	1	1	1	cytoplasm	DAPI	35	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.197	40.318	14.517	10	92	7.598	13.064	7.577	13.063	7.935	40	16127
				Slide2_020818_36	1	1	1	cytoplasm	EdU	36	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.197	38.593	12.134	9	82	7.598	13.064	7.587	13.066	7.596	38	15437
