CellNum	Stage	Mother/daughter	mtDNA rep observed	ShiftedFlg	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	IntDen	Median	Skew	RawIntDen
				0	Slide2_020818_28	1	1	1	nuclei	EdU	28	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.211	47.7	14.297	NaN	14	116	7.132	9.743	7.152	9.724	57.763	46	NaN	117390
				0	Slide2_020818_29	1	1	1	cytoplasm	DAPI	29	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.262	34.85	11.672	NaN	12	82	7.842	7.901	7.843	7.904	9.123	33	NaN	18540
				0	Slide2_020818_30	1	1	1	cytoplasm	EdU	30	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.262	43.594	13.014	NaN	11	96	7.842	7.901	7.841	7.899	11.412	42	NaN	23192
4	G1	M		0	Slide2_020818_31	1	1	1	cell	DAPI	31	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	7.398	77.389	73.756	NaN	8	255	6.483	13.052	6.588	13.027	572.538	47	NaN	1163551
				0	Slide2_020818_32	1	1	1	cell	EdU	32	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	7.398	39.497	13.868	NaN	9	122	6.483	13.052	6.5	13.044	292.202	38	NaN	593833
				0	Slide2_020818_33	1	1	1	nuclei	DAPI	33	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.982	233.675	33.798	NaN	76	255	6.788	12.69	6.78	12.699	229.505	255	NaN	466415
				0	Slide2_020818_34	1	1	1	nuclei	EdU	34	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.982	48.9	13.901	NaN	18	112	6.788	12.69	6.786	12.69	48.028	47	NaN	97605
				0	Slide2_020818_35	1	1	1	cytoplasm	DAPI	35	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.197	40.318	14.517	NaN	10	92	7.598	13.064	7.577	13.063	7.935	40	NaN	16127
				0	Slide2_020818_36	1	1	1	cytoplasm	EdU	36	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.197	38.593	12.134	NaN	9	82	7.598	13.064	7.587	13.066	7.596	38	NaN	15437
5	eG1	M	1	0	Slide2_020818_37	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	11.871	65.914	61.563	NaN	8	255	12.648	17.193	12.489	17.548	782.491	41	NaN	1590232
				0	Slide2_020818_38	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	11.871	38.51	13.532	NaN	9	124	12.648	17.193	12.632	17.231	457.168	37	NaN	929088
				0	Slide2_020818_39	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.484	189.022	52.841	NaN	41	255	12.389	18.248	12.366	18.245	280.519	196	NaN	570090
				0	Slide2_020818_40	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.484	46.024	13.813	NaN	14	120	12.389	18.248	12.39	18.221	68.301	44	NaN	138807
				0	Slide2_020818_41	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.272	34.613	11.612	NaN	13	87	13.887	17.926	13.881	17.929	9.419	33	NaN	19141
				0	Slide2_020818_42	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.272	37.618	11.3	NaN	15	78	13.887	17.926	13.884	17.928	10.236	36	NaN	20803
5	eG1	D		0	Slide2_020818_43	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	8.04	70.052	67.783	NaN	8	255	16.954	17.047	16.659	17.199	563.204	42	NaN	1144582
				0	Slide2_020818_44	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	8.04	43.115	13.699	NaN	10	119	16.954	17.047	16.924	17.046	346.638	42	NaN	704461
				0	Slide2_020818_45	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.041	208.935	47.753	NaN	53	255	16.282	17.538	16.273	17.52	217.544	224	NaN	442107
				0	Slide2_020818_46	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.041	50.355	13.963	NaN	17	110	16.282	17.538	16.293	17.527	52.43	49	NaN	106551
				0	Slide2_020818_47	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.452	29.755	11.506	NaN	8	88	17.707	17.939	17.699	17.933	13.455	28	NaN	27345
				0	Slide2_020818_48	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.452	40.689	12.125	NaN	11	83	17.707	17.939	17.699	17.931	18.4	39	NaN	37393
6	G1	D	1	0	Slide2_020818_49	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.132	74.683	64.013	NaN	8	255	8.5	15.888	8.491	15.857	756.655	51	NaN	1537726
				0	Slide2_020818_50	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.132	49.196	17.491	NaN	9	140	8.5	15.888	8.476	15.853	498.435	47	NaN	1012954
				0	Slide2_020818_51	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.241	211.256	52.446	NaN	47	255	8.849	15.726	8.862	15.71	262.267	236	NaN	532998
				0	Slide2_020818_52	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.241	63.399	15.825	NaN	16	140	8.849	15.726	8.855	15.727	78.708	62	NaN	159955
				0	Slide2_020818_53	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.277	34.876	13.008	NaN	9	86	9.57	16.805	9.557	16.795	9.662	33	NaN	19635
				0	Slide2_020818_54	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.277	39.389	12.677	NaN	13	84	9.57	16.805	9.558	16.794	10.912	38	NaN	22176
7	A	M	1	0	Slide2_020818_55	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	11.247	50.724	38.729	NaN	8	255	5.6	4.089	5.282	4.252	570.486	40	NaN	1461620
				0	Slide2_020818_56	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	11.247	37.752	12.02	NaN	9	105	5.6	4.089	5.57	4.073	424.586	36	NaN	1087815
				0	Slide2_020818_57	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.072	126.012	47.627	NaN	24	255	4.6	4.289	4.54	4.348	135.108	120	NaN	346154
				0	Slide2_020818_58	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.072	39.019	12.021	NaN	11	96	4.6	4.289	4.575	4.296	41.835	38	NaN	107185
				0	Slide2_020818_59	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.219	39.368	14.01	NaN	9	98	5.258	3.125	5.257	3.136	8.605	37	NaN	22046
				0	Slide2_020818_60	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.219	40.721	12.148	NaN	16	84	5.258	3.125	5.251	3.126	8.901	39	NaN	22804
7	A	D		0	Slide2_020818_61	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	5.752	30.372	28.469	NaN	7	255	2.037	5.736	2.346	5.792	174.703	24	NaN	447599
				0	Slide2_020818_62	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	5.752	39.74	12.544	NaN	9	115	2.037	5.736	2.062	5.751	228.586	38	NaN	585652
				0	Slide2_020818_63	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.179	161.926	45.409	NaN	52	255	3.276	5.487	3.296	5.479	28.946	163	NaN	74162
				0	Slide2_020818_64	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.179	38.998	11.853	NaN	12	80	3.276	5.487	3.264	5.501	6.971	39	NaN	17861
				0	Slide2_020818_65	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.173	22.833	9.689	NaN	8	60	2.404	4.989	2.405	4.994	3.957	21	NaN	10138
				0	Slide2_020818_66	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.173	40.624	12.471	NaN	18	92	2.404	4.989	2.401	4.988	7.04	39	NaN	18037
8	G1	M	1	0	Slide2_020818_67	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.392	79.248	70.723	NaN	8	255	8.212	10.275	8.343	10.676	585.809	49	NaN	1500879
				0	Slide2_020818_68	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.392	55.684	18.747	NaN	10	158	8.212	10.275	8.252	10.317	411.621	53	NaN	1054599
				0	Slide2_020818_69	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.552	231.41	35.644	NaN	76	255	8.6	11.293	8.59	11.286	127.805	255	NaN	327445
				0	Slide2_020818_70	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.552	62.926	19.575	NaN	16	144	8.6	11.293	8.606	11.268	34.753	61	NaN	89040
				0	Slide2_020818_71	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.194	44.054	13.506	NaN	15	95	8.834	9.689	8.834	9.691	8.529	43	NaN	21851
				0	Slide2_020818_72	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.194	55.786	16.042	NaN	22	125	8.834	9.689	8.832	9.695	10.8	54	NaN	27670
9	M	M	1	0	Slide2_020818_73	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.88	107.988	84.393	NaN	8	255	9.815	14.454	9.512	14.166	850.946	69	NaN	2180175
				0	Slide2_020818_74	1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.88	59.83	20.713	NaN	11	173	9.815	14.296	9.768	14.223	471.463	58	NaN	1207916
				0	Slide2_020818_75	1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.932	221.92	43.445	NaN	35	255	9.147	13.954	9.168	13.939	428.758	241	NaN	1098503
				0	Slide2_020818_76	1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.932	67.203	20.21	NaN	13	161	9.147	13.954	9.19	13.888	129.84	66	NaN	332657
