60	44	76	60	60	76
36	76	52	200	36	52
56	48	72	92	56	72
76	68	76	88	76	76
44	108	200	80	44	200
52	60	76	112	52	76
68	100	84	200	68	84
56	52	72	124	56	72
36	64	56	152	36	56
112	68	76	88	112	76
56	68	48	48	56	48
44	48	76	112	44	76
60	72	72	200	60	72
52	64	48	200	52	48
24	12	76	80	24	76
60	84	72	104	60	72
68	100	48	160	68	48
52	52	76	60	52	76
72	76	68	116	72	68
64	76	36	56	64	36
76	64	52	52	76	52
60	52	84	72	60	84
52	112	44	96	52	44
60	52	48	56	60	48
40	68	96	52	40	96
52	56	100	132	52	100
52	32	72	200	52	72
68	56	56	200	68	56
44	60	80	76	44	80
48	52	48	48	48	48
56	40	200	76	56	200
60	84	52	124	60	52
52	52	56	100	52	56
48	92	56	68	48	56
80	56	56	200	80	56
104	72	44	64	104	44
72	56	200	80	72	200
52	44	72	68	52	72
68	56	80	200	68	80
48	68	92	200	48	92
80	84	60	128	80	60
124	72	200	100	124	200
56	80	64	64	56	64
72	44	80	80	72	80
60	44	64	200	60	64
40	60	116	76	40	116
40	44	60	200	40	60
96	68	72	200	96	72
52	48	76	116	52	76
80	92	64	56	80	64
68	68	52	100	68	52
44	88	60	68	44	60
48	40	48	68	48	48
44	64	200	200	44	200
52	72	84	200	52	84
108	96	68	48	108	68
80	52	60	72	80	60
44	52	60	68	44	60
60	60	80	56	60	80
64	40	52	200	64	52
28	56	40	96	28	40
48	60	80	96	48	80
80	44	76	64	80	76
68	80	100	72	68	100
72	80	52	76	72	52
60	88	100	108	60	100
60	72	64	108	60	64
88	68	44	68	88	44
64	60	48	200	64	48
56	60	84	200	56	84
44	76	64	200	44	64
80	72	124	132	80	124
60	60	52	136	60	52
60	88	68	112	60	68
100	72	80	200	100	80
56	56	64	48	56	64
24	56	100	68	24	100
68	84	72	144	68	72
40	68	60	108	40	60
60	56	68	200	60	68
40	44	60	84	40	60
84	40	164	200	84	164
68	76	64	200	68	64
60	44	52	76	60	52
80	56	108	120	80	108
80	92	76	64	80	76
68	48	76	72	68	76
88	88	96	80	88	96
64	40	52	116	64	52
40	72	76	92	40	76
68	76	72	68	68	72
52	56	52	200	52	52
48	64	72	64	48	72
72	56	76		72	76
104	52	44		104	44
72	24	60		72	60
44	76	84		44	84
100	72	52		100	52
68	56	64		68	64
48	60	68		48	68
36	172	12		36	12
60	72	100		60	100
40	48	56		40	56
60	64	52		60	52
60	40	64		60	64
48	92	52		48	52
60	76			60	60
64	44			64	200
124	48			124	92
52	52			52	88
56	48			56	80
64	52			64	112
52	76			52	200
52	48			52	124
68	48			68	152
56				56	88
68				68	48
64				64	112
64				64	200
120				120	200
28				28	80
60				60	104
48				48	160
60				60	60
68				68	116
52				52	56
56				56	52
56				56	72
				44	96
				76	56
				48	52
				68	132
				108	200
				60	200
				100	76
				52	48
				64	76
				68	124
				68	100
				48	68
				72	200
				64	64
				12	80
				84	68
				100	200
				52	200
				76	128
				76	100
				64	64
				52	80
				112	200
				52	76
				68	200
				56	200
				32	116
				56	56
				60	100
				52	68
				40	68
				84	200
				52	200
				92	48
				56	72
				72	68
				56	56
				44	200
				56	96
				68	96
				84	64
				72	72
				80	76
				44	108
				44	108
				60	68
				44	200
				68	200
				48	200
				92	132
				68	136
				88	112
				40	200
				64	48
				72	68
				96	144
				52	108
				52	200
				60	84
				40	200
				56	200
				60	76
				44	120
				80	64
				80	72
				88	80
				72	116
				68	92
				60	68
				60	200
				76	64
				72	
				60	
				88	
				72	
				56	
				56	
				84	
				68	
				56	
				44	
				40	
				76	
				44	
				56	
				92	
				48	
				88	
				40	
				72	
				76	
				56	
				64	
				56	
				52	
				24	
				76	
				72	
				56	
				60	
				172	
				72	
				48	
				64	
				40	
				92	
				76	
				44	
				48	
				52	
				48	
				52	
				76	
				48	
				48	
