"Bin Center"	"wt (n=140)"	"wt +HU (n=124)"	"rad9d (n=160)"	"rad9d +HU (n=170)"
0	0.00000000000000	0.00000000000000	0.000	0.00000000000000
4	0.00000000000000	0.00000000000000	0.000	0.00000000000000
8	0.00000000000000	0.00000000000000	0.000	0.00000000000000
12	1.42857142857143	0.00000000000000	1.875	0.00000000000000
16	2.85714285714286	1.61290322580645	4.375	7.05882352941176
20	7.14285714285714	2.41935483870968	10.000	16.47058823529410
24	13.57142857142860	2.41935483870968	15.625	25.88235294117650
28	26.42857142857140	4.03225806451613	21.250	32.35294117647060
32	33.57142857142860	8.87096774193548	28.125	38.23529411764710
36	47.14285714285710	11.29032258064520	36.875	40.58823529411760
40	55.71428571428570	15.32258064516130	48.750	45.29411764705880
44	65.00000000000000	21.77419354838710	58.750	54.70588235294120
48	67.85714285714290	25.80645161290320	68.125	60.58823529411760
52	72.85714285714280	32.25806451612900	73.125	64.11764705882350
56	75.71428571428570	37.09677419354840	80.625	67.64705882352940
60	80.71428571428570	39.51612903225810	83.125	70.00000000000000
64	85.71428571428570	44.35483870967740	87.500	74.70588235294120
68	88.57142857142860	50.00000000000000	90.625	75.29411764705880
72	90.00000000000000	52.41935483870970	92.500	81.17647058823530
76	94.28571428571430	54.83870967741940	93.750	82.94117647058820
80	96.42857142857140	57.25806451612900	95.625	85.29411764705880
84	96.42857142857140	60.48387096774190	96.875	86.47058823529410
88	96.42857142857140	62.90322580645160	97.500	88.82352941176470
92	96.42857142857140	66.12903225806450	98.125	89.41176470588240
96	97.85714285714280	68.54838709677420	98.125	89.41176470588240
100	97.85714285714280	70.16129032258070	98.750	90.00000000000000
104	97.85714285714280	70.16129032258070	98.750	91.17647058823530
108	97.85714285714280	70.16129032258070	98.750	91.17647058823530
112	99.28571428571430	70.16129032258070	98.750	91.17647058823530
116	99.28571428571430	70.16129032258070	99.375	91.76470588235290
120	99.28571428571430	70.16129032258070	99.375	92.35294117647060
124	100.00000000000000	70.16129032258070	99.375	92.35294117647060
128	100.00000000000000	70.96774193548390	99.375	92.35294117647060
132	100.00000000000000	70.96774193548390	99.375	92.94117647058820
136	100.00000000000000	70.96774193548390	99.375	92.94117647058820
140	100.00000000000000	70.96774193548390	99.375	92.94117647058820
144	100.00000000000000	71.77419354838710	99.375	92.94117647058820
148	100.00000000000000	71.77419354838710	99.375	93.52941176470590
152	100.00000000000000	71.77419354838710	99.375	93.52941176470590
156	100.00000000000000	71.77419354838710	99.375	93.52941176470590
160	100.00000000000000	71.77419354838710	99.375	93.52941176470590
164	100.00000000000000	71.77419354838710	99.375	94.11764705882350
168	100.00000000000000	72.58064516129030	99.375	94.11764705882350
172	100.00000000000000	72.58064516129030	99.375	94.11764705882350
176	100.00000000000000	72.58064516129030	99.375	94.11764705882350
180	100.00000000000000	72.58064516129030	99.375	94.11764705882350
184	100.00000000000000	74.19354838709680	99.375	94.11764705882350
188	100.00000000000000	74.19354838709680	99.375	94.11764705882350
192	100.00000000000000	74.19354838709680	99.375	94.11764705882350
196	100.00000000000000	74.19354838709680	99.375	94.11764705882350
200	100.00000000000000	74.19354838709680	99.375	94.11764705882350
204	100.00000000000000	74.19354838709680	99.375	94.11764705882350
208	100.00000000000000	74.19354838709680	99.375	94.11764705882350
212	100.00000000000000	74.19354838709680	99.375	94.11764705882350
216	100.00000000000000	74.19354838709680	99.375	94.11764705882350
220	100.00000000000000	74.19354838709680	99.375	94.11764705882350
224	100.00000000000000	74.19354838709680	99.375	94.11764705882350
228	100.00000000000000	74.19354838709680	99.375	94.11764705882350
232	100.00000000000000	74.19354838709680	99.375	94.11764705882350
236	100.00000000000000	74.19354838709680	99.375	94.11764705882350
240	100.00000000000000	74.19354838709680	99.375	94.11764705882350
244	100.00000000000000	74.19354838709680	99.375	94.11764705882350
248	100.00000000000000	74.19354838709680	99.375	94.11764705882350
252	100.00000000000000	74.19354838709680	99.375	94.11764705882350
256	100.00000000000000	74.19354838709680	99.375	94.11764705882350
260	100.00000000000000	74.19354838709680	99.375	94.11764705882350
264	100.00000000000000	74.19354838709680	99.375	94.11764705882350
268	100.00000000000000	74.19354838709680	99.375	94.11764705882350
272	100.00000000000000	74.19354838709680	99.375	94.11764705882350
276	100.00000000000000	74.19354838709680	99.375	94.11764705882350
280	100.00000000000000	74.19354838709680	99.375	94.11764705882350
284	100.00000000000000	74.19354838709680	99.375	94.11764705882350
288	100.00000000000000	74.19354838709680	99.375	94.11764705882350
292	100.00000000000000	74.19354838709680	99.375	94.11764705882350
296	100.00000000000000	74.19354838709680	99.375	94.11764705882350
300	100.00000000000000	74.19354838709680	99.375	94.11764705882350
304	100.00000000000000	74.19354838709680	99.375	94.11764705882350
308	100.00000000000000	74.19354838709680	99.375	94.11764705882350
312	100.00000000000000	74.19354838709680	99.375	94.11764705882350
316	100.00000000000000	74.19354838709680	99.375	94.11764705882350
320	100.00000000000000	74.19354838709680	99.375	94.11764705882350
324	100.00000000000000	74.19354838709680	99.375	94.11764705882350
328	100.00000000000000	74.19354838709680	99.375	94.11764705882350
332	100.00000000000000	74.19354838709680	99.375	94.11764705882350
336	100.00000000000000	74.19354838709680	99.375	94.11764705882350
340	100.00000000000000	74.19354838709680	99.375	94.11764705882350
344	100.00000000000000	74.19354838709680	99.375	94.11764705882350
348	100.00000000000000	74.19354838709680	99.375	94.11764705882350
352	100.00000000000000	74.19354838709680	99.375	94.11764705882350
356	100.00000000000000	74.19354838709680	99.375	94.11764705882350
360	100.00000000000000	74.19354838709680	99.375	94.11764705882350
364	100.00000000000000	74.19354838709680	99.375	94.11764705882350
368	100.00000000000000	74.19354838709680	99.375	94.11764705882350
372	100.00000000000000	74.19354838709680	99.375	94.11764705882350
376	100.00000000000000	74.19354838709680	99.375	94.11764705882350
380	100.00000000000000	74.19354838709680	99.375	94.11764705882350
384	100.00000000000000	74.19354838709680	99.375	94.11764705882350
388	100.00000000000000	74.19354838709680	99.375	94.11764705882350
392	100.00000000000000	74.19354838709680	99.375	94.11764705882350
396	100.00000000000000	74.19354838709680	99.375	94.11764705882350
400	100.00000000000000	74.19354838709680	99.375	94.11764705882350
404	100.00000000000000	74.19354838709680	99.375	94.11764705882350
408	100.00000000000000	74.19354838709680	99.375	94.11764705882350
412	100.00000000000000	74.19354838709680	99.375	94.11764705882350
416	100.00000000000000	74.19354838709680	99.375	94.11764705882350
420	100.00000000000000	74.19354838709680	99.375	94.11764705882350
424	100.00000000000000	74.19354838709680	99.375	94.11764705882350
428	100.00000000000000	74.19354838709680	99.375	94.11764705882350
432	100.00000000000000	74.19354838709680	99.375	94.11764705882350
436	100.00000000000000	74.19354838709680	99.375	94.11764705882350
440	100.00000000000000	74.19354838709680	99.375	94.11764705882350
444	100.00000000000000	74.19354838709680	99.375	94.11764705882350
448	100.00000000000000	74.19354838709680	99.375	94.11764705882350
452	100.00000000000000	74.19354838709680	99.375	94.11764705882350
456	100.00000000000000	74.19354838709680	99.375	94.11764705882350
460	100.00000000000000	74.19354838709680	99.375	94.11764705882350
464	100.00000000000000	74.19354838709680	99.375	94.11764705882350
468	100.00000000000000	74.19354838709680	99.375	94.11764705882350
472	100.00000000000000	74.19354838709680	99.375	94.11764705882350
476	100.00000000000000	74.19354838709680	99.375	94.11764705882350
480	100.00000000000000	74.19354838709680	99.375	94.11764705882350
484	100.00000000000000	74.19354838709680	99.375	94.11764705882350
488	100.00000000000000	74.19354838709680	99.375	94.11764705882350
492	100.00000000000000	74.19354838709680	99.375	94.11764705882350
496	100.00000000000000	74.19354838709680	99.375	94.11764705882350
500	100.00000000000000	74.19354838709680	99.375	94.11764705882350
504	100.00000000000000	74.19354838709680	99.375	94.11764705882350
