Htb2_psf2_HUn_rad9n_met	Htb2_psf2_HUn_rad9y_met	Htb2_WT_HUn_rad9n_met	Htb2_WT_HUy_rad9n_met	Htb2_WT_HUn_rad9y_met	Htb2_WT_HUy_rad9y_met	Htb2_WT_HUn_rad9n_noc	Htb2_pol2_HUn_rad9n_noc	Spc42_WT_HUn_rad9n_noc	Spc42_pol2_HUn_rad9n_noc	Htb2_pol1_HUn_rad9n_met	Htb2_pol2_HUn_rad9n_met	Htb2_pol3_HUn_rad9n_met	Htb2_WT37_HUn_rad9n_met
NaN	NaN	9	NaN	18	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	9	12	18	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	9	18	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	21	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	9	9	18	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	12	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	12	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	12	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	9	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	18	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	12	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	24	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	9	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	15	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	24	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	NaN	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	15	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	10	12	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	15	12	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
