Htb2_psf2_HUn_rad9n_met	Htb2_psf2_HUn_rad9y_met	Htb2_WT_HUn_rad9n_met	Htb2_WT_HUy_rad9n_met	Htb2_WT_HUn_rad9y_met	Htb2_WT_HUy_rad9y_met	Htb2_WT_HUn_rad9n_noc	Htb2_pol2_HUn_rad9n_noc	Spc42_WT_HUn_rad9n_noc	Spc42_pol2_HUn_rad9n_noc	Htb2_pol1_HUn_rad9n_met	Htb2_pol2_HUn_rad9n_met	Htb2_pol3_HUn_rad9n_met	Htb2_WT37_HUn_rad9n_met
56	NaN	27	33	NaN	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49	NaN	30	27	NaN	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119	NaN	25	51	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	42	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	54	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	27	NaN	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	39	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	84	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	300	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	39	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	45	300	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	30	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	95	23	NaN	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	66	NaN	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	40	30	NaN	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	30	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	27	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	45	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	25	300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	40	111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	20	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	50	39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	35	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	30	54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
